2024-11-01 10:15:32,192.168.1.10,GET,/index.html,SUCCESS,532 
2024-11-01 10:15:35,192.168.1.11,POST,/login,401,721 
2024-11-01 10:16:01,192.168.1.10,GET,/products,SUCCESS,1024 
2024-11-01 10:16:45,192.168.1.12,GET,/index.html,500,0 
2024-11-01 10:17:02,192.168.1.13,POST,/cart,SUCCESS,2048 
2024-11-01 10:17:30,192.168.1.11,POST,/login,SUCCESS,850 
2024-11-01 10:18:05,192.168.1.14,GET,/checkout,SUCCESS,0
2024-11-01 10:18:20,,GET,/index.html,SUCCESS,532 
2024-11-01 10:19:01,192.168.1.15,DELETE,/admin,403,245 
2024-11-01 10:19:45,192.168.1.10,GET,/products,SUCCESS,1100 
2024-11-01 10:20:10,192.168.1.16,PUT,/api/update,201,999
